gene_symbol,Category,Log2FC_67311,q_67311,Sig_67311,Log2FC_221921,q_221921,Sig_221921
MDGA2,GWAS Neural,0.0003913432835824,0.9898861097198224,False,1.272,1.1059333076190645e-07,True
DRD2,GWAS Neural,0.0465295442786066,0.41887202956369224,False,1.413,2.9259056165210987e-05,True
CAMKV,GWAS Neural,0.0558484457711436,0.13051964969204466,False,1.188,0.003170954490183066,True
CELF4,GWAS Neural,0.0155717313432841,0.7209937674009927,False,0.66,0.04572434618791216,True
NCAM1,GWAS Neural,-0.0838405611940285,0.4487304391106744,False,0.436,0.08704000029487725,False
DCC,GWAS Neural,0.0361798348258703,0.4487304391106744,False,0.528,0.08704000029487725,False
GPR52,GWAS Neural,-0.0123834965174118,0.8400795824396853,False,-0.478,0.09859272550374445,False
HTT,GWAS Neural,0.0236505054726379,0.6687837997490254,False,-0.289,0.12000416103645595,False
SRD5A2,GWAS Neural,0.0777157771144265,0.0680976244444481,False,0.429,0.251176128622115,False
KYNU,GWAS Neural,-0.042765198009949,0.6687837997490254,False,-0.229,0.4894806135392068,False
NPC1,GWAS Neural,-0.0203400199004963,0.7209937674009927,False,-0.156,0.5455499872444016,False
HDC,Mast Cell,-0.5283511283582101,4.433820235790616e-05,True,-0.599,0.6658653586159029,False
FCER1A,Mast Cell,-0.5012488676616922,1.6712426224308467e-05,True,-0.19,0.7481665628507574,False
PPP2R2B,GWAS Neural,-0.0497991582089563,0.503839071268588,False,-0.081,0.883027611673026,False
MS4A2,Mast Cell,-0.5163265711442788,1.4668882123964165e-05,True,-0.133,0.9262773675032447,False
CPA3,Mast Cell,-0.7862678885572132,1.7675133540196422e-06,True,-0.003,0.9916470679762307,False
NPY,GWAS Neural,0.059266788059701,0.2313269429035106,False,,,
